Nom,Adresse,Prestations,Tel,Website,page
 Schiratti Alexandre ," 25 r Clos, 75020 PARIS", , 01 45 79 51 03 , ,47
 La Pieta ," 8 av Emile Zola, 75015 PARIS", , 06 73 84 57 08 ,null http://www.facebook.com/pages/La-Pieta/301432399986656 http://www.lapieta.fr,47
 Campo San Maurizio ," 18 r Fbg St Martin, 75010 PARIS", , 01 43 95 06 53 ,null http://www.facebook.com/camposanmaurizio http://camposanmaurizio.com,47
 Cocotte ," 165 av Maine, 75014 PARIS", , 09 53 81 47 57 ,null http://www.facebook.com/pages/Caf%C3%A9-Rubis/162369410456584 http://www.facebook.com/pages/category/French-Restaurant/Cocotte-2111798675815288 http://www.facebook.com/Cafe-Rubis1-506154349579112,47
 Bailly-borg Valentine ," 18 Bis r Jean et Marie Moinon, 75010 PARIS", , , ,47
 Soboa SARL ," 187 r Faubourg Saint Antoine, 75011 PARIS", , 01 43 79 07 00 ,http://www.facebook.com/pages/Soboa-Sp%C3%A9cialit%C3%A9s-Italiennes/105191483369477,48
 Mandarine de Passy La ," 28 r Passy, 75016 PARIS"," Prestations : traiteur asiatique, vente à emporter, fait maison, accès handicapé", 01 42 15 18 99 , ,48
 Reignier Chloé ," 122 av Simon Bolivar, 75019 PARIS", , 09 78 63 12 25 , ,48
 Lenôtre Paris ," 15 bd Courcelles, 75008 PARIS", , 01 45 63 87 63 ,null http://www.facebook.com/pages/Villiers-Lenotre/113481848731157 http://www.facebook.com/Lenotre http://www.lenotre.com,48
 Bouffexpress ," 1 av Porte Brancion, 75015 PARIS", , 06 52 67 52 64 , ,48
 Theimer Yvan ," Porte Fond 19 r Estrapade, 75005 PARIS", , 01 43 29 62 41 , ,48
 SUSHI NAMI SARL ," 38 r Laugier, 75017 PARIS", , 09 54 13 88 49 ,http://www.facebook.com/157122727640408,48
 La Rotisserie du Marché Saint Germain ," Marché Saint Germain 4 r Lobineau, 75006 PARIS"," Prestations : rôtisserie, vente à emporter", 09 86 10 36 13 ,http://www.facebook.com/Traiteur-restaurant-du-march%C3%A9-saint-germain-2247608135498070,48
 Subway ," 190 r Convention, 75015 PARIS"," Prestations : saladerie, sandwicherie", 09 52 14 63 09 ,null http://www.facebook.com/SubwayEnFrance http://www.facebook.com/Subway-Convention-195907457192584 http://www.subway.com/fr-fr,48
 NMP SERVICE ," bât D36 40 189 r Aubervilliers, 75018 PARIS", , 01 44 84 70 56 , ,48
 Dong Fang ," 10 r Damrémont, 75018 PARIS", Prestations : traiteur chinois, 09 83 86 52 22 ,http://dong-fang.fr/,48
 Lin'S Compagny ," 217 r Charenton, 75012 PARIS", , 01 43 42 00 46 , ,48
 Evi Evane Traiteur ," 20 r St Placide, 75006 PARIS"," Prestations : traiteur grec, traiteur à domicile, repas d'affaire, repas d'anniversaire, plateau repas, organisation de réceptions, boisson, vente à emporter, livraison de repas à domicile", 01 71 70 60 59 ,null http://www.facebook.com/restaurant.evievane http://www.evievane.com http://www.evievane.com/traiteur/index.php,48
 Hershkovitch Samuel ," 18 r Roses, 75018 PARIS", , 09 87 33 48 05 , ,48
 Subway ," 5 bd Grenelle, 75015 PARIS"," Prestations : saladerie, sandwicherie", 01 45 78 71 73 ,null http://facebook.com/pages/category/Fast-Food-Restaurant/Subway-Tour-Eiffel-Bir-Hakeim-1065445020132884/ http://www.subwayfrance.fr,48
 Exotica ," 75 av Emile Zola, 75015 PARIS", , 01 45 75 19 91 ,http://exoticatraiteurlibanais.fr,48
 Collet Cauvelet Nathalie ," 35 bd Ornano, 75018 PARIS", , 09 80 32 38 75 , ,48
